corp_id,corp_name,school_id,school_name,grad_rate
9620,Burris Laboratory School,1441,Burris Laboratory School,95.56%
9625,Indiana Academy for Sci Math Hmn ,1443,Indiana Academy for Sci Math Hmn ,97.00%
9650,Herron Charter,5724,Herron High School,92.00%
9651,"The Hope Academy, Inc.",5304,"The Hope Academy, Inc.",***
9670,Indianapolis Metropolitan High Sch,5664,Indianapolis Metropolitan High Sch,41.25%
9705,Hammond Academy of Science & Tech,4486,Hammond Academy of Science & Tech,94.92%
9730,Neighbors' New Vistas High School,6864,Neighbors' New Vistas High School,50.00%
9750,Excel Center - Anderson,4904,Excel Center - Anderson,9.82%
9760,Smith Academy for Excellence,242,Smith Academy for Excellence,***
9790,Anderson Preparatory Academy,5092,Anderson Preparatory Academy,78.72%
9840,Excel Center - University Heights,5749,Excel Center - University Heights,2.13%
9855,Excel Center - Noblesville,5748,Excel Center - Noblesville,17.28%
9875,Rock Creek Community Academy,771,Rock Creek Community Academy,96.88%
9880,Career Academy High School,7567,Career Academy High School,94.19%
9885,Gary Middle College,4027,Gary Middle College,4.60%
